Week no. 6
49er endurance: 62%
49er money: $1074
Sluice durability: 59%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
Cradle durability: 100%
